GenNb-134   ||  MinChi2: -1609.0101055661976   ||  MeanChi2: -1609.0101055661976   ||  StdChi2: 0.0   ||  
GenNb-135   ||  MinChi2: -1283.2106460510972   ||  MeanChi2: -1283.2106460510972   ||  StdChi2: 0.0   ||  
GenNb-136   ||  MinChi2: -1088.1212706008005   ||  MeanChi2: -1088.1212706008005   ||  StdChi2: 0.0   ||  
GenNb-137   ||  MinChi2: -1076.0259590263665   ||  MeanChi2: -1076.0259590263665   ||  StdChi2: 0.0   ||  
GenNb-138   ||  MinChi2: -1012.808854241651   ||  MeanChi2: -1012.808854241651   ||  StdChi2: 0.0   ||  
GenNb-139   ||  MinChi2: -1012.808854241651   ||  MeanChi2: -1012.808854241651   ||  StdChi2: 0.0   ||  
GenNb-140   ||  MinChi2: -886.2686895276676   ||  MeanChi2: -886.2686895276676   ||  StdChi2: 0.0   ||  
GenNb-141   ||  MinChi2: -497.11177303411324   ||  MeanChi2: -497.11177303411324   ||  StdChi2: 0.0   ||  
GenNb-142   ||  MinChi2: -497.11177303411324   ||  MeanChi2: -497.11177303411324   ||  StdChi2: 0.0   ||  
GenNb-143   ||  MinChi2: -497.11177303411324   ||  MeanChi2: -497.11177303411324   ||  StdChi2: 0.0   ||  
GenNb-144   ||  MinChi2: -499.0923201353236   ||  MeanChi2: -499.0923201353236   ||  StdChi2: 0.0   ||  
GenNb-145   ||  MinChi2: -499.0923201353236   ||  MeanChi2: -499.0923201353236   ||  StdChi2: 0.0   ||  
GenNb-146   ||  MinChi2: -178.70277944617004   ||  MeanChi2: -178.70277944617004   ||  StdChi2: 0.0   ||  
GenNb-147   ||  MinChi2: -178.70277944617004   ||  MeanChi2: -178.70277944617004   ||  StdChi2: 0.0   ||  
GenNb-148   ||  MinChi2: -178.70277944617004   ||  MeanChi2: -178.70277944617004   ||  StdChi2: 0.0   ||  
GenNb-149   ||  MinChi2: -178.70277944617004   ||  MeanChi2: -178.70277944617004   ||  StdChi2: 0.0   ||  
GenNb-150   ||  MinChi2: -166.28361810501374   ||  MeanChi2: -166.28361810501374   ||  StdChi2: 0.0   ||  
GenNb-151   ||  MinChi2: -166.28361810501374   ||  MeanChi2: -166.28361810501374   ||  StdChi2: 0.0   ||  
GenNb-152   ||  MinChi2: -166.28361810501374   ||  MeanChi2: -166.28361810501374   ||  StdChi2: 0.0   ||  
GenNb-153   ||  MinChi2: -13.559457599419414   ||  MeanChi2: -13.559457599419414   ||  StdChi2: 0.0   ||  
GenNb-154   ||  MinChi2: -13.559457599419414   ||  MeanChi2: -13.559457599419414   ||  StdChi2: 0.0   ||  
GenNb-155   ||  MinChi2: -6.529493146714808   ||  MeanChi2: -6.529493146714808   ||  StdChi2: 0.0   ||  
GenNb-156   ||  MinChi2: 2.2324336635483895   ||  MeanChi2: 2.2324336635483895   ||  StdChi2: 0.0   ||  
