PointID,Higgs,mTop,ThetaHiggs,TopYukawa,HiggsTrilin
Point T4-290-01102019130318,87.26140353986638,159.56670719242854,0.03862712429686958,0.9905897474381832,13.605727361898609
Point T2-285-01102019130549,115.47692508146137,195.22667902594452,0.10659354313418626,0.9857027124935431,21.82335190588158
Point T5-289-01102019133118,353.4108867088472,4.310055954204181e-05,3.1245138032431896e-08,-0.9913292142098229,9.19823150693945e-06
Point T1-948-01102019131023,85.35487296942497,172.48219784148353,0.21324492315143428,0.9688749437729157,11.943360114491337
Point T3-590-01102019130448,134.01533429985597,186.23506194107375,0.05908537490300484,0.9895993120131527,32.96633813155664
Point T1-950-01102019131029,122.32042372619364,161.33508681725863,0.09578429673006167,0.9867851498626271,32.176217443978736
Point T0-659-01102019125915,130.87323361970476,169.73341797526504,0.06821614277449388,0.9890235619519628,32.1620205077659
Point T0-79-01102019125921,82.68698709262372,0.0010174396364450045,1.347315890375239e-06,0.9913292142089236,0.001031167428323992
Point T6-821-01102019131128,30.72234350205169,54.26253812296029,0.10306513519236964,0.9860687146151692,5.278459493024697
Point T2-899-01102019130555,37.81201543962307,59.23417095467333,0.019313562148434375,0.9911443302763899,9.19919167504992
Point T7-214-01102019130016,80.86236485539744,175.7791877928063,0.06625397601986886,0.9891542459111529,9.723217217517732
Point T2-891-01102019130600,57.88094365639485,76.92675604691406,0.032063546420940274,0.9908196794524313,15.447084709622267
Point T5-262-01102019133122,101.02743505611932,157.29351839766284,0.08785809494397778,-0.9875056173709316,26.144541463723588
Point T3-807-01102019130454,112.26959306393135,187.84768802339937,0.061524028449759766,0.989453613267007,20.391429054529898
Point T4-861-01102019130323,113.30320915059508,182.68216462115046,0.05220792578567789,0.9899785041326779,21.913215004552935
Point T0-888-01102019125926,106.7487279964786,165.83442134369946,0.09114473141828684,0.9872143986444801,22.875698430212697
Point T4-377-01102019130329,73.49058017454347,172.59567121165156,0.07818592128349523,0.988300740725299,7.895910202491851
Point T1-890-01102019131035,66.42460056121391,133.78936316587465,0.21324567224045057,0.9688747866157066,9.251127127979647
Point T2-952-01102019130606,83.87171363437498,140.10416280442857,0.07203270324510301,0.9887584660001117,15.69824286095061
Point T7-513-01102019130022,119.5615125182071,174.2343870700779,0.35588329278350955,0.9292116324789386,24.89933925107632
Point T3-982-01102019130500,117.93260358676162,176.5203226618715,0.058041356899071916,0.9896598884364226,26.10128703355848
Point T5-857-01102019133127,328.5139720493113,549.789956313707,0.15297041654128413,0.9797532874534229,64.42538798475242
Point T6-475-01102019131132,85.13671833884855,301.1692990384321,0.3620748903609588,0.9270552735194082,3.956231582670568
Point T4-378-01102019130335,125.48898701351122,181.41287551631723,0.0619027452815297,0.9894304587255588,26.13027098724133
Point T6-564-01102019131137,14.393507207026776,22.026544280585878,0.04100254523546568,0.9904960152938382,2.8292332039429744
Point T0-279-01102019125933,30.42773972414826,38.3163096985507,0.03569488726524226,0.9906977426058399,8.459640066234353
