GenNb-1334   ||  MinChi2: 170.24765387141588   ||  MeanChi2: 10907.125528282639   ||  StdChi2: 12620.802162639764   ||  
GenNb-1353   ||  MinChi2: 169.11225330599163   ||  MeanChi2: 10907.011988226095   ||  StdChi2: 12620.898758644591   ||  
GenNb-1392   ||  MinChi2: 169.11225330599163   ||  MeanChi2: 10817.83430747925   ||  StdChi2: 12684.344724796143   ||  
GenNb-1407   ||  MinChi2: 169.11225330599163   ||  MeanChi2: 10739.918148484308   ||  StdChi2: 12743.700332015003   ||  
GenNb-1427   ||  MinChi2: 169.11225330599163   ||  MeanChi2: 10721.155545279724   ||  StdChi2: 12750.578270863707   ||  
GenNb-1460   ||  MinChi2: 169.11225330599163   ||  MeanChi2: 10713.970862924663   ||  StdChi2: 12753.276807650824   ||  
GenNb-1475   ||  MinChi2: 169.11225330599163   ||  MeanChi2: 10712.472740637886   ||  StdChi2: 12753.844013846461   ||  
GenNb-1501   ||  MinChi2: 169.11225330599163   ||  MeanChi2: 10711.484434721866   ||  StdChi2: 12754.636231821205   ||  
GenNb-1518   ||  MinChi2: 169.11225330599163   ||  MeanChi2: 10711.34188286271   ||  StdChi2: 12754.750553045184   ||  
GenNb-1547   ||  MinChi2: 169.11225330599163   ||  MeanChi2: 10710.747445939587   ||  StdChi2: 12755.188186974085   ||  
GenNb-1549   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 10688.706491141298   ||  StdChi2: 12772.78868642349   ||  
GenNb-1551   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 10673.392795429641   ||  StdChi2: 12777.136245775544   ||  
GenNb-1612   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 10627.937010970667   ||  StdChi2: 12794.914861876478   ||  
GenNb-1629   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 10626.31027237861   ||  StdChi2: 12796.099441237358   ||  
GenNb-1635   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 10624.752770696703   ||  StdChi2: 12796.733666680468   ||  
GenNb-1637   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 10621.633019969191   ||  StdChi2: 12799.12297406112   ||  
GenNb-1638   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 10534.825478031034   ||  StdChi2: 12733.72928894382   ||  
GenNb-1639   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 10534.23626195514   ||  StdChi2: 12733.894007607845   ||  
GenNb-1645   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 10512.775131592321   ||  StdChi2: 12718.496466334282   ||  
GenNb-1688   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 10502.230138802417   ||  StdChi2: 12721.471328121786   ||  
GenNb-1693   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 10501.483630087734   ||  StdChi2: 12721.684881945974   ||  
GenNb-1717   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 10499.683705576184   ||  StdChi2: 12720.406195059822   ||  
GenNb-1724   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 10498.081642462468   ||  StdChi2: 12721.567190054522   ||  
GenNb-1736   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 10488.588637709907   ||  StdChi2: 12728.481715002916   ||  
GenNb-1768   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 10488.504388031779   ||  StdChi2: 12728.515352745406   ||  
GenNb-1808   ||  MinChi2: 147.04092506455268   ||  MeanChi2: 10487.823411328503   ||  StdChi2: 12729.013662377993   ||  
