GenNb-408   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 10042.082031786742   ||  StdChi2: 8756.035688440441   ||  
GenNb-433   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 10040.693844756282   ||  StdChi2: 8756.887920512549   ||  
GenNb-437   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 9922.982786634284   ||  StdChi2: 8773.084169408095   ||  
GenNb-438   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 9913.603660649656   ||  StdChi2: 8764.908096139943   ||  
GenNb-447   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 9900.405685716529   ||  StdChi2: 8753.543262547784   ||  
GenNb-482   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 9878.213270074606   ||  StdChi2: 8767.075011196352   ||  
GenNb-495   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 9877.25327358584   ||  StdChi2: 8766.253601967865   ||  
GenNb-537   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 9720.557669507898   ||  StdChi2: 8808.961720882924   ||  
GenNb-572   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 9685.415127718483   ||  StdChi2: 8809.830005878215   ||  
GenNb-631   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 9670.960418147022   ||  StdChi2: 8818.544108618338   ||  
GenNb-651   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 9656.537222423765   ||  StdChi2: 8827.44296808544   ||  
GenNb-657   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 9652.872386624282   ||  StdChi2: 8829.7821602348   ||  
GenNb-683   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 9100.739690442491   ||  StdChi2: 7428.585882798904   ||  
GenNb-726   ||  MinChi2: 200.3050606677561   ||  MeanChi2: 9097.928076448028   ||  StdChi2: 7428.511614654386   ||  
GenNb-733   ||  MinChi2: 162.884465253551   ||  MeanChi2: 9094.18601690661   ||  StdChi2: 7433.0008547252255   ||  
GenNb-764   ||  MinChi2: 162.884465253551   ||  MeanChi2: 9085.752319027668   ||  StdChi2: 7438.653851738442   ||  
GenNb-769   ||  MinChi2: 162.884465253551   ||  MeanChi2: 9062.486267364126   ||  StdChi2: 7454.671775402647   ||  
GenNb-782   ||  MinChi2: 162.884465253551   ||  MeanChi2: 8745.89342535479   ||  StdChi2: 7617.879186401256   ||  
GenNb-783   ||  MinChi2: 162.884465253551   ||  MeanChi2: 8726.183819490132   ||  StdChi2: 7630.374141642308   ||  
GenNb-793   ||  MinChi2: 162.884465253551   ||  MeanChi2: 8720.523503582534   ||  StdChi2: 7623.975268869581   ||  
GenNb-802   ||  MinChi2: 162.884465253551   ||  MeanChi2: 8612.162156009921   ||  StdChi2: 7706.963687308602   ||  
GenNb-820   ||  MinChi2: 162.884465253551   ||  MeanChi2: 8610.110087683308   ||  StdChi2: 7707.885087708846   ||  
GenNb-829   ||  MinChi2: 162.884465253551   ||  MeanChi2: 8573.69311209113   ||  StdChi2: 7738.628620502584   ||  
GenNb-838   ||  MinChi2: 162.884465253551   ||  MeanChi2: 8554.54738134435   ||  StdChi2: 7736.696493495773   ||  
